ID,Accession,Title,Comments
158497,PRJNA158497,NHGRI Large Scale Sequencing
36315,PRJNA36315,ModEncode
167910,,NHGRI Organismal Sequencing
50617,,Mouse ENCODE Project
43021,,HMP
167909,,NHGRI Unassigned
176379,PRJNA176379,Tumor Sequencing Project (TSP)
28889,,1000 Genomes
176378,PRJNA176378,Evolution of the human proteome: Completing the Chordate Nodes
176382,PRJNA176382,Fungal Genome Initiative
